idActivity;activityType;durationTime;quantityNegotiation;helpRequire
973787976;NAME_ACTIVITY_PROPOSED;6.28611767E8;8;45
973787976;NAME_ACTIVITY_TRANSPORTATION;9422696.0;30;45
745264480;NAME_ACTIVITY_REQUIRED;962869.0;1;75
745264480;NAME_ACTIVITY_PROPOSED;1.090504279E9;8;75
745264480;NAME_ACTIVITY_TRANSPORTATION;1.0071409E7;29;75
1503886657;NAME_ACTIVITY_REQUIRED;965611.0;1;40
1503886657;NAME_ACTIVITY_PROPOSED;5.71239972E8;8;40
1503886657;NAME_ACTIVITY_TRANSPORTATION;1.0529865E7;23;40
2111673635;NAME_ACTIVITY_REQUIRED;804337.0;1;80
2111673635;NAME_ACTIVITY_PROPOSED;1.087480317E9;8;80
2111673635;NAME_ACTIVITY_TRANSPORTATION;8921600.0;37;80
295803203;NAME_ACTIVITY_REQUIRED;804337.0;1;80
295803203;NAME_ACTIVITY_PROPOSED;1.085546628E9;8;80
295803203;NAME_ACTIVITY_TRANSPORTATION;1.1367942E7;34;80
1662230210;NAME_ACTIVITY_REQUIRED;804337.0;1;60
1662230210;NAME_ACTIVITY_PROPOSED;8.3756727E8;8;60
1662230210;NAME_ACTIVITY_TRANSPORTATION;1.1587619E7;31;60
555269780;NAME_ACTIVITY_REQUIRED;737052.0;1;65
555269780;NAME_ACTIVITY_PROPOSED;9.21533277E8;8;65
555269780;NAME_ACTIVITY_TRANSPORTATION;1.1455567E7;34;65
821908249;NAME_ACTIVITY_REQUIRED;737052.0;1;65
821908249;NAME_ACTIVITY_PROPOSED;1.05740523E9;8;65
821908249;NAME_ACTIVITY_TRANSPORTATION;1.0625778E7;34;65
755744708;NAME_ACTIVITY_REQUIRED;923272.0;1;45
755744708;NAME_ACTIVITY_PROPOSED;7.46713756E8;8;45
755744708;NAME_ACTIVITY_TRANSPORTATION;1.2515281E7;33;45
1385283881;NAME_ACTIVITY_REQUIRED;1251810.0;1;40
1385283881;NAME_ACTIVITY_PROPOSED;6.64114692E8;8;40
1385283881;NAME_ACTIVITY_TRANSPORTATION;1.0794143E7;32;40
907618801;NAME_ACTIVITY_REQUIRED;1332260.0;1;95
907618801;NAME_ACTIVITY_PROPOSED;1.350579342E9;8;95
907618801;NAME_ACTIVITY_TRANSPORTATION;8865708.0;30;95
1822867888;NAME_ACTIVITY_REQUIRED;1153971.0;1;75
1822867888;NAME_ACTIVITY_PROPOSED;1.066695626E9;8;75
1822867888;NAME_ACTIVITY_TRANSPORTATION;9882769.0;32;75
480487039;NAME_ACTIVITY_REQUIRED;1153971.0;1;60
480487039;NAME_ACTIVITY_PROPOSED;9.01569083E8;8;60
480487039;NAME_ACTIVITY_TRANSPORTATION;9779937.0;35;60
1080534091;NAME_ACTIVITY_REQUIRED;1163196.0;1;45
1080534091;NAME_ACTIVITY_PROPOSED;5.9421219E8;8;45
1080534091;NAME_ACTIVITY_TRANSPORTATION;1.0206543E7;29;45
1062095639;NAME_ACTIVITY_REQUIRED;779969.0;1;40
1062095639;NAME_ACTIVITY_PROPOSED;5.3175954E8;8;40
1062095639;NAME_ACTIVITY_TRANSPORTATION;7923516.0;24;40
1707062799;NAME_ACTIVITY_REQUIRED;970862.0;1;105
1707062799;NAME_ACTIVITY_PROPOSED;1.377077056E9;8;105
1707062799;NAME_ACTIVITY_TRANSPORTATION;8792861.0;26;105
1689150617;NAME_ACTIVITY_REQUIRED;970862.0;1;80
1689150617;NAME_ACTIVITY_PROPOSED;1.080825781E9;8;80
1689150617;NAME_ACTIVITY_TRANSPORTATION;1.0785651E7;34;80
420925883;NAME_ACTIVITY_REQUIRED;970862.0;1;80
420925883;NAME_ACTIVITY_PROPOSED;1.077271708E9;8;80
420925883;NAME_ACTIVITY_TRANSPORTATION;9967317.0;31;80
1422731133;NAME_ACTIVITY_REQUIRED;886764.0;1;65
1422731133;NAME_ACTIVITY_PROPOSED;8.44781951E8;8;65
1422731133;NAME_ACTIVITY_TRANSPORTATION;8977181.0;32;65
1289415717;NAME_ACTIVITY_REQUIRED;886764.0;1;65
1289415717;NAME_ACTIVITY_PROPOSED;8.50872727E8;8;65
1289415717;NAME_ACTIVITY_TRANSPORTATION;1.1976692E7;38;65
1531429771;NAME_ACTIVITY_REQUIRED;838072.0;1;45
1531429771;NAME_ACTIVITY_PROPOSED;6.01789058E8;8;45
1531429771;NAME_ACTIVITY_TRANSPORTATION;9071962.0;28;45
1962105425;NAME_ACTIVITY_REQUIRED;838072.0;1;40
1962105425;NAME_ACTIVITY_PROPOSED;5.12164167E8;8;40
1962105425;NAME_ACTIVITY_TRANSPORTATION;7499686.0;24;40
1228434813;NAME_ACTIVITY_REQUIRED;939437.0;1;60
1228434813;NAME_ACTIVITY_PROPOSED;8.06738052E8;8;60
1228434813;NAME_ACTIVITY_TRANSPORTATION;8932005.0;27;60
1377311675;NAME_ACTIVITY_REQUIRED;2153200.0;1;75
1377311675;NAME_ACTIVITY_PROPOSED;9.58480202E8;8;75
1377311675;NAME_ACTIVITY_TRANSPORTATION;1.122941E7;38;75
925286888;NAME_ACTIVITY_REQUIRED;1040919.0;1;95
925286888;NAME_ACTIVITY_PROPOSED;1.213029801E9;8;95
925286888;NAME_ACTIVITY_TRANSPORTATION;1.0691719E7;35;95
1508451471;NAME_ACTIVITY_REQUIRED;1252537.0;1;65
1508451471;NAME_ACTIVITY_PROPOSED;8.41079416E8;8;65
1508451471;NAME_ACTIVITY_TRANSPORTATION;8909100.0;28;65
1395718474;NAME_ACTIVITY_REQUIRED;1252537.0;1;65
1395718474;NAME_ACTIVITY_PROPOSED;8.42438687E8;8;65
1395718474;NAME_ACTIVITY_TRANSPORTATION;8877791.0;31;65
1105716564;NAME_ACTIVITY_REQUIRED;824587.0;1;40
1105716564;NAME_ACTIVITY_PROPOSED;5.17398225E8;8;40
1105716564;NAME_ACTIVITY_TRANSPORTATION;1.1588719E7;30;40
1078940929;NAME_ACTIVITY_REQUIRED;925168.0;1;80
1078940929;NAME_ACTIVITY_PROPOSED;1.014258734E9;8;80
1078940929;NAME_ACTIVITY_TRANSPORTATION;9857126.0;38;80
1351797979;NAME_ACTIVITY_REQUIRED;925168.0;1;80
1351797979;NAME_ACTIVITY_PROPOSED;1.035272469E9;8;80
1351797979;NAME_ACTIVITY_TRANSPORTATION;1.0430795E7;35;80
71079210;NAME_ACTIVITY_REQUIRED;925168.0;1;45
71079210;NAME_ACTIVITY_PROPOSED;5.80604922E8;8;45
71079210;NAME_ACTIVITY_TRANSPORTATION;8898467.0;30;45
2047811004;NAME_ACTIVITY_REQUIRED;1009061.0;1;60
2047811004;NAME_ACTIVITY_PROPOSED;7.8006345E8;8;60
2047811004;NAME_ACTIVITY_TRANSPORTATION;8054525.0;32;60
1087551649;NAME_ACTIVITY_REQUIRED;1147146.0;1;105
1087551649;NAME_ACTIVITY_PROPOSED;1.3355062E9;8;105
1087551649;NAME_ACTIVITY_TRANSPORTATION;9102012.0;29;105
115359860;NAME_ACTIVITY_REQUIRED;1205619.0;1;40
115359860;NAME_ACTIVITY_PROPOSED;5.20243747E8;8;40
115359860;NAME_ACTIVITY_TRANSPORTATION;1.0039407E7;34;40
1721045063;NAME_ACTIVITY_REQUIRED;1244649.0;1;45
1721045063;NAME_ACTIVITY_PROPOSED;5.95489051E8;8;45
1721045063;NAME_ACTIVITY_TRANSPORTATION;1.2107759E7;37;45
1693782996;NAME_ACTIVITY_REQUIRED;1272327.0;1;75
1693782996;NAME_ACTIVITY_PROPOSED;9.41622508E8;8;75
1693782996;NAME_ACTIVITY_TRANSPORTATION;8339577.0;28;75
834123867;NAME_ACTIVITY_REQUIRED;1430077.0;1;65
834123867;NAME_ACTIVITY_PROPOSED;8.58344433E8;8;65
834123867;NAME_ACTIVITY_TRANSPORTATION;8609524.0;26;65
894483961;NAME_ACTIVITY_REQUIRED;1430077.0;1;65
894483961;NAME_ACTIVITY_PROPOSED;8.34821141E8;8;65
894483961;NAME_ACTIVITY_TRANSPORTATION;1.0470229E7;39;65
2064221244;NAME_ACTIVITY_REQUIRED;1091878.0;1;40
2064221244;NAME_ACTIVITY_PROPOSED;5.13419885E8;8;40
2064221244;NAME_ACTIVITY_TRANSPORTATION;1.0233601E7;35;40
934171450;NAME_ACTIVITY_REQUIRED;1171489.0;1;95
934171450;NAME_ACTIVITY_PROPOSED;1.212338142E9;8;95
934171450;NAME_ACTIVITY_TRANSPORTATION;1.1987154E7;37;95
995578100;NAME_ACTIVITY_REQUIRED;1171489.0;1;80
995578100;NAME_ACTIVITY_PROPOSED;1.039726792E9;8;80
995578100;NAME_ACTIVITY_TRANSPORTATION;7942400.0;26;80
190356754;NAME_ACTIVITY_REQUIRED;1171489.0;1;80
190356754;NAME_ACTIVITY_PROPOSED;1.041548946E9;8;80
190356754;NAME_ACTIVITY_TRANSPORTATION;8984689.0;34;80
1011335201;NAME_ACTIVITY_REQUIRED;1171489.0;1;60
1011335201;NAME_ACTIVITY_PROPOSED;7.73015144E8;8;60
1011335201;NAME_ACTIVITY_TRANSPORTATION;1.0437382E7;33;60
